,sentence,#aspect terms,aspect_terms,at_polarity
52,"कोशिश करने के numerous attempts के बाद (सीधे clock को BIOS setup करने सहित), मैंने हार मान ली (मैं एक techie हूं)।",1,['clock को BIOS setup'],['negative']
53,आप एक American warranty service के लिए call करने के लिए तैयार नहीं होंगे जो country के बाहर है।,1,['warranty service '],['negative']
54,लेकिन यह near future में संभावित रूप से hundreds या thousands हो सकते हैं।,0,[],[]
55,एक compact travel device के लिए मेरी needs को पूरा या exceed कर चुका है।,0,[],[]
56,लेकिन अब मुझे realize हुआ है कि इस brand के साथ एक problem है।,1,['brand'],['negative']
57,यह मेरे द्वारा set सही date और time को save नहीं कर सकता है।,0,[],[]
58,"मैंने इसे दो बार Toshiba में वापस भेजा, उन्होंने इसे warranty के तहत cover किया।",1,['warranty'],['positive']
59,और यह मेरा सिर्फ एक experience नहीं है।,0,[],[]
60,उन्होंने मुझे एक replacement part send किया और मुझे inform किए बिना कहा कि मैं इसे 15 days के भीतर लौटा दूं या उनसे contact करूं और उन्हें बता दूं कि broken part को बाद में return कर दिया जाएगा।,0,[],[]
61,"मैं एक mac की तलाश कर रहा था जो portable हो और उसमें वे सभी features हों, जिनकी मुझे तलाश थी।",1,['features'],['positive']
62,मैं इसे अपने friends को highly recommond करुंगा।,0,[],[]
63,"इमानदारी से मैं अपने mac को love करता हूँ, यही कारण है कि मैं एक self-proclaimed mac addict हूं।",0,[],[]
64,और ये कुछ reasons हैं जिनसे आपको macbook pro लेना चाहिए।,0,[],[]
65,एक प्रकार का loud था जब fan run कर रहा था।,1,['fan'],['negative']
66,"In desperation, मैंने उनके Customer Service number को call किया और मुझे बताया गया कि मेरी warranty समाप्त हो गई है (2 days old) और talking to a technician prvilege की cost मुझे लगेगी ("" क्या आपका credit card तैयार है"")।",3,"['Customer Service number', 'warranty', 'talking to a technician']","['neutral', 'negative', 'negative']"
67,मैं अपने email को जारी रख सकूं इस लिए business trip पर रहते हुए इस laptop को खरीदा।,0,[],[]
68,यह भी लगता है कि hard disk में problem थी जैसा कि windows certain time के लिए load करता है लेकिन किसी भी driver या files को find करने में able नहीं होने का claim करता है।,3,"['hard disk', 'windows', 'driver']","['negative', 'negative', 'neutral']"
69,Drivers ने ठीक अपडेट किया लेकिन BIOS update ने system को freeze कर दिया और comuter close हो गया।,3,"['Drivers', 'BIOS update', 'system']","['positive', 'negative', 'negative']"
70,उन्दोंने एक month के लिए मेरा laptop खो दिया था।,0,[],[]
71,HP Technical Support के साथ phone पर 2 hours बिताए।,1,['HP Technical Support'],['neutral']
72,"यह मेरा second laptop है, और यह first से कहीं बेहतर है।",0,[],[]
73,at first,0,[],[]
74,Browser की बात करें तो इसमें भी problems हैं।,1,['Browser'],['negative']
75,मैं सोचता हूं कि PC से Mac पर जाने से मैं पूरी तरह से spoil हो गया और मैं कभी वापस जाने का imagine नहीं कर सकता।,0,[],[]
76,Keyboard बहुत slick है।,1,['Keyboard'],['negative']
77,रात में मेरा computer खुद को defrag करता है और एक virus scan run कराता है।,1,['virus scan'],['neutral']
78,"यह 9 pounds जैसा है, लेकिन यदि आप इसे past में देख सकते हैं, तो यह GREAT है!",1,['9 pounds'],['negative']
79,एक program के open होने पर भी ये उतना ही fast है जितना sixteen के open होने पर होता है।,1,['program'],['neutral']
80,"अभी भी warranty के तहत है इसलिए Toshiba को call किया, बिलकुल भी help नहीं मिली।",1,['warranty'],['negative']
81,"मैं Toshiba Satellite L305D-S5934 laptop की मेरी खरीद से happy था, जब तक कि Toshiba Warranty के तहत repair करने का समय नहीं आया।",1,['Toshiba Warranty'],['negative']
82,I love it,0,[],[]
83,Amazing Quality.,1,['Quality'],['positive']
84,Fact यह है कि आप सिर्फ एक webcam पर 100 dollar से अधिक खर्च कर सकते हैं जो इस machine के value को underscores करता है।,2,"['webcam', 'value']","['neutral', 'positive']"
85,"मैं इसको मुख्य रूप से email, internet, और managing personal files  (pics, vids, etc) के लिए उपयोग करता हूं।",2,"['internet', 'managing personal files']","['neutral', 'neutral']"
86,"एक या एक month पहले की बात है, freaking motherboard खराब हो गया था।",1,['motherboard'],['negative']
87,"यह जिस system के साथ आता है वह properly work नहीं करता है, इसलिए इसके साथ problems को fix करने की कोशिश करते समय यह बिल्कुल भी work ना करना start कर देता है।",1,['system'],['negative']
88,फिर लगभग 4 months बाद charger ने भी work करना stop कर दिया तो मुझे सिर्फ मजबूरी में इस computer को चालू हालत में रखने के लिए ही बाहर जाकर नया hardware buy करना पड़ा।,2,"['charger', 'hardware']","['negative', 'negative']"
89,मैं इसे best buy में वापस ले गया जहां वे बहुत helpful थे और तुरंत मुझे एक new दिया।,0,[],[]
90,"अगर 4 years तक आपके पास PC था तो मैं लगभग gaurantee दे सकता हूं कि कुछ ना कुछ तो अब तक खराब हो ही गया होगा, हो सकता है may be आपको अपने पूरे computer को replace के लिए force किया जाए",0,[],[]
91,"Computer को repair के लिए देने के 2 weeks के बाद — headquarters पर call किया, उन्होंने बताया कि उन्होंने अभी तक उसे देखा नहीं था लेकिन वह stack पर सबसे top पर था।",0,[],[]
92,This machine delivers.,0,[],[]
93,तब मेरे 2 nephews music में जा रहे थे और दोनों को MacBook pro से प्यार हो गया।,0,[],[]
94,I complain again.,0,[],[]
95,This laptop is insane!!!,0,[],[]
96,"अगर website कभी freeze हो जाए (जोकि बहुत rare है), तो उसे force quit करना सच में बहुत easy है।",1,['force quit'],['positive']
97,यह थोड़ा warm चलता है लेकिन यह एक negligible concern है।,0,[],[]
98,यह शायद ही कभी work करता है और जब यह करता है तो यह incredibly slow होता है।,1,['work'],['negative']
99,मैं इस fact का भी आनंद लेता हूं कि मेरा MacBook Pro laptop मुझे VMWare program का उपयोग करके उस पर Windows 7 चलाने की अनुमति देता है।,2,"['Windows 7', 'VMWare program']","['positive', 'neutral']"
100,"To find files, operating system के माध्यम से navigate करना बहुत easy है, और यह बहुत तेज़ run करता है!",4,"['operating system', 'run', 'navigate', 'find files']","['positive', 'positive', 'positive', 'positive']"
101,"एक Toshiba laptop purchase किया, जब तक warranty खत्म नहीं हो जाती, तब तक यह अच्छा work करता है।",1,['warranty'],['negative']
102,"मैंने हमेशा PCs पर भरोसा किया, MAC को कभी consider नहीं करूंगा।",0,[],[]
103,"क्या सुन्दर, wonderful machine है।",0,[],[]
104,यह अब मेरा 3rd Macbook Pro है और मैं वास्तव में ईमानदारी से इसे love करता हूँ!,0,[],[]
105,for 2 months.,0,[],[]
106,"मैं extended warranty purchase करना चाहता था और उन्होंने refuse कर दिया, क्योंकि वे जानते थे कि इसमें trouble था।",1,['extended warranty'],['neutral']
107,क्या आपको कभी लगता है कि HP ऐसा करेगा? NEVER,0,[],[]
108,हमने speed के performance में वृद्धि कर के advantage उठाने के लिए memory को four gigabytes तक upgrade किया।,3,"['memory', 'speed', 'performance']","['neutral', 'positive', 'positive']"
109,ऐसा नहीं है कि मैंने half year इसका use किया और फिर इसके बारे में complain की।,0,[],[]
110,अभी भी learn करने का try कर रहा हूं कि इसका use कैसे किया जाए।,0,[],[]
111,"सच्चाई यह थी, यह बहुत जल्दी heated up हो गया और simple things करने में भी बहुत समय लगाया, जैसे opening my Documents folder।",1,['opening my Documents folder'],['negative']
112,मैंने netbook buy किया क्योंकि यह मेरे लिए आसपास carry करने के लिए smaller और lighter था।,0,[],[]
113,Apple store पर Genius ने मुझे advise दिया कि ऐसा कुछ नहीं था कि मेरे computer के उपयोग के कारण failure हुआ हो।,0,[],[]
114,हम Mac के साथ फिर से replace के लिए अपनी money बचाएंगे!,0,[],[]
115,आपके great product के लिए धन्यवाद!,0,[],[]
116,यह company सच में horrible products बनाती तो है और ऐसा लगता भी नहीं है क्योंकि certain things हैं जैसे कभी नहीं हुई।,0,[],[]
117,"मैंने हमेशा PCs का इस्तेमाल किया है और उन poorly designed operating systems के क्रैश होने पर लगातार निराश था, जो कभी intuitive नहीं थे।",1,['operating systems'],['negative']
118,"Sorry Toshiba, मगर कुछ चीजों के लिए 1st impression भी मायने रखता है।",0,[],[]
119,"फिर 5 months के भीतर, charger खराब हो गया।",1,['charger'],['negative']
120,"और यदि आपके पास एक iphone या ipod touch है, तो आप connect कर सकते हैं और songs को high speed से download कर सकते हैं।  ",1,['speed'],['positive']
121,कुल मिलाकर यह laptop great है।,0,[],[]
122,मुझे glass touchpad पसंद है।,1,['glass touchpad'],['positive']
123,मैंने computer को AGAIN में ले जाना continue रखा और उन्होंने hard drive और motherboard को फिर से replace कर दिया।,2,"['hard drive', 'motherboard']","['negative', 'negative']"
124,मैं external speaker का use कर रहा हूं- sound अच्छा है।,2,"['external speaker', 'sound']","['positive', 'positive']"
125,Apple MC371LL / A 2.4Ghz 15.4-inch MackBook Pro Notebook money की भयानक बर्बादी है।,0,[],[]
126,"ठीक है, यह शायद Apple द्वारा तैयार की गई best laptop series है।",0,[],[]
127,"जैसे कुछ week पहले तक laptop का middle portion top से bottom तक, लगभग 4 inch के आसपास शायद ही दिखाई देता था।",0,[],[]
128,"अभी भी battery life का test कर रहा हूं क्योंकि मुझे लगा कि यह better होगा, लेकिन upgrade से बहुत happy हूं।",1,['battery life'],['negative']
129,"फिर HP ने इसे screwd up hardware के साथ मेरे पास वापस भेज दिया, connect करने में able नहीं है।",1,['hardware'],['negative']
130,मुझे बस hope है कि जो Toshiba की reputation है वह true है और मुझे किसी crash के बारे में worry करने की ज़रूरत नहीं है।,0,[],[]
131,"और हां, HP की ओर से आने और जाने में expensive shipping को मत भूलिए।",1,['shipping'],['negative']
132,मैं किसी को भी pcconnection express से buy करने के लिए recommend करुंगा।,0,[],[]
133,Good luck.,0,[],[]
134,"सब कुछ use करने के लिए बहुत easy है, Mac Software Microsoft software की तुलना में बस बहुत simple है।",3,"['Mac Software', 'Microsoft software', 'use']","['positive', 'negative', 'positive']"
135,"अब तक मेरा favorite है, हालांकि सबसे expensive, मेरा Sony था।",0,[],[]
136,"यदि आप बहुत अधिक writting करते हैं, तो editing एक problem है क्योंकि कोई forward delete key नहीं है।",2,"['delete key', 'editing']","['negative', 'negative']"
137,"इसके अलावा, मैं तब fast type करता था जब letters show होते थे और यह really में annoying हो जाता था।",0,[],[]
138,Toshiba Satallite laptop computer के चीजों के owner के रूप में आपको buy करने से पहले पता होना चाहिए।,0,[],[]
139,इसके use में आसानी और Apple की top service - चाहे वो उनकी phone assistance हो या genius bar - किसी को beat नहीं किया जा सकता।,4,"['use', 'service', 'phone assistance', 'genius bar']","['positive', 'positive', 'positive', 'positive']"
140,"जब आप web browsing और word editing कर रहे हों, तो इसकी 10 hours की battery life, इसे classroom या office के लिए perfect बनाती है और gaming और movie playing करने के लिहाज से इसकी battery life सिर्फ 5 hours से ज्यादा की होगी।",6,"['battery life', 'battery life', 'gaming', 'movie playing', 'web browsing', 'word editing']","['positive', 'positive', 'neutral', 'neutral', 'neutral', 'neutral']"
141,मैंने Saturday 17 July को भेज दिया।,0,[],[]
142,यह वास्तव में cheap था इसलिए मैंने buy किया है और यह AMAZING है।,0,[],[]
143,जब से मैंने पूछा था Acer ने मुझे FREE recovery discs के लिए set कर दिया है जब वो available हों।,1,['recovery discs'],['positive']
144,"मैंने ""no lemon"" clause के साथ Office Max का ""Max Assurance"" भी खरीदा।",1,"['Office Max का ""Max Assurance""']",['neutral']
145,यदि आप अपने आप को एक new laptop के लिए market में पाते हैं (और money है) तो MBPs को देखना exclude ना करें।,0,[],[]
146,मैंने अंत में अपने iMac backup disc से migration किया जो USB का उपयोग करता है।,2,"['iMac backup disc', 'USB']","['neutral', 'neutral']"
147,वे चीजें बहुत important हैं - यहां तक की vital भी।,0,[],[]
148,They say कि यह two weeks तक ले जाएगा।,0,[],[]
149,मैं इसके बारे में एक चीज को like नहीं करता।,0,[],[]
150,"Battery life बहुत अच्छी लग रही है, और इसके साथ कोई issues नहीं है।",1,['Battery life'],['positive']
151,Battery timer को enable करना बेकार है।,1,['Battery timer'],['negative']
152,बाहर temperatures ठीक था लेकिन मैंने Core Processing Unit temperatures में नज़र नहीं रखी।,2,"['temperatures', 'Core Processing Unit temperatures']","['neutral', 'neutral']"
153,"Yeah, to you.",0,[],[]
154,मुझे अपने HS graduation gift के तौर पर एक mac मिला।,0,[],[]
155,मुझे यह 1.5 months के लिए मिला है और मैं इसे love करता हूं।,0,[],[]
156,यह मालूम हुआ है कि really में Mac लेने में problem नहीं है।,0,[],[]
157,आपके द्वारा yahoo या कुछ download करने के बाद page disappear हो गया।,0,[],[]
158,Images को multi-select करके और तेजी से या slideshow mode में देखा जा सकता हैं।,0,[],[]
159,Today इसे service में लाने जा रहे हैं।,1,['service'],['neutral']
160,"Virus protection for Mac purchase करने की आवश्यकता नहीं है, जो मेरा बहुत time और money बचाता है।",1,['Virus protection for Mac'],['positive']
161,"लेकिन हमने bluetooth के लिए pay किया था, और वहां कोई नहीं था।",1,['bluetooth'],['negative']
162,"इसलिए मैंने Alexandra Road पर LG notebook service center की ओर रुख किया, यह सोच कर कि वह hinge को और tight कर देंगे।",2,"['LG notebook service center', 'hinge']","['neutral', 'negative']"
163,"मेरी बेटी games, email, facebook, pictures और music के लिए इसका उपयोग करती है।",1,['games'],['neutral']
164,Laptop को Netbook की तरह use करना है।,0,[],[]
165,"यह हमेशा reliable होता है, इसमें कभी भी bug नहीं आता और well respond करता है।",1,['respond'],['positive']
166,लगभग एक week के बाद आखिरकार मुझे यह वापस मिला और कहा गया कि motherboard fail हो गया था और इसलिए उन्होंने एक new motherboard install किया है।,2,"['motherboard', 'motherboard']","['negative', 'neutral']"
167,अपने सारे role को balance करने के try के कारण मुझे कुछ भी करने के लिए बहुत little time मिलता है इसलिए मैं most efficient हो पाने के लिए अपने time को manage करना चाहता हूं।,0,[],[]
168,"यह slow था, बंद था, और केवल 2 months बाद hardware भी replace कर दिया गया था!",1,['hardware'],['negative']
169,उन्हें April में motherboard बदलना पड़ा,1,['motherboard'],['negative']
170,"हां, computer light weight का था, average laptop की तुलना में less expensive था, और use में बहुत self explanatory था।",1,['use'],['positive']
171,"इसके अलावा, आपको representive at Microsoft से बात करने की need है, तो एक charge है, जो मुझे believe है कि robbery है, क्योंकि आपके द्वारा बहुत ही बुरी तरह से designed की गई system के लिए भारी amounts में charge किया जाता है, जो कि अधिकांश people XP के साथ जाते थे यदि वे कर सकते थे।",3,"['representive at Microsoft', 'system', 'XP']","['negative', 'negative', 'positive']"
172,एक little indent है इसे open करने में help के लिए - लेकिन उसके साथ good luck।,0,[],[]
173,मुझे windows 7 बहुत पसंद है जो Vista पर एक बड़ा improvement है।,2,"['windows 7', 'Vista']","['positive', 'negative']"
174,"इसके अलावा, मुझे इससे बहुत trouble हो रही है, और गर्म करने के लिए यह किसी चीज पर बैठ भी नहीं रहा है।",0,[],[]
175,आखिरकार यह एक great deal थी,0,[],[]
176,यह mac शानदार है!,0,[],[]
177,"Keyboard great है, उन सभी typing के लिए  बहुत quiet है जो मैं करता हूं।",1,['Keyboard'],['positive']
178,"मैं एक design family में grow up हुआ हूं,  केवल इसलिए यह sense में आया।",0,[],[]
179,Gave phone number.,0,[],[]
180,मेरे papers के लिए research में अधिक time लगेगा और मैं कई hours बीताउंगा -सिर्फ इसलिए कि computer बहुत slow था।,0,[],[]
181,Oh my goodness - मैं एक खुशमिज़ाज़ camper नहीं हूं।,0,[],[]
182,Dell's customer disservice उन customers का अपमान है जो shoddy products के लिए अच्छी money pay करते हैं।,1,['Dell's customer disservice'],['negative']
183,मैं किसी को भी इस laptop को recommend करुंगा!,0,[],[]
184,"फिर भी, HP problem के बारे में कुछ नहीं करेगा।",0,[],[]
185,i'm returning mine,0,[],[]
186,"10 minutes के General use के बाद इसमें cooling system की खराबी थी, और यह error खत्म नहीं होगा।",2,"['cooling system', 'use']","['negative', 'neutral']"
187,"मैं little effort से AVCHD movies दे सकता हूं, जो कि ज्यादातर pc's के लिए एक problem थी जब तक कि आपके पास quad core I7 नहीं था।",1,['quad core I7'],['positive']
188,यह एक bummer है और पाँच में से एक kind है।,0,[],[]
189,"यह वही है जो उन्होंने मुझे बताया था: यह heat up होता है, और यही reason है कि अब हम उन्हें laptop नहीं कहते हैं, और बस उन्हें portables के रूप में categorize करते हैं।",0,[],[]
190,"बहुत knowledgeable sales associate के साथ इस पर बात करने के बाद, मैंने MacBook Pro पर white MacBook चुना।",1,['sales associate'],['positive']
191,"यदि आप वास्तव में एक bang-up system चाहते हैं और Windows applications को run कराने की need नहीं है, तो Apple के साथ जाएं।",2,"['system', 'Windows applications']","['positive', 'neutral']"
192,"आपको कुछ inefficient virus program पर money बहाने की ज़रूरत नहीं होगी, जिन्हें हर month update की need हो और जो आपके wallet को लगातार drain कर दें।",1,['virus program'],['negative']
193,यह laptop fast है और आप सच में केवल online tutorials watch करके इस dynamo के साथ वह सारी चीजें learn कर जाएंगे जो आप कर सकते हैं।,0,[],[]
194,उनमें से एक ने work किया हुआ लग रहा है।,0,[],[]
195,जिसका use मैं अभी भी कर रहा हूं और अपने TV पर hooked up हूं।,0,[],[]
196,इस unit के साथ मुझे जो problem थी वह unresolvable थी।,0,[],[]
197,इसका weight seven pounds या ऐसा ही कुछ था।,2,"['weight', 'seven pounds']","['neutral', 'neutral']"
198,"2 months बाद, battery खराब हो गई।",1,['battery'],['negative']
199,आपको bag का special order करने की need पड़ सकती है।,1,['bag'],['neutral']
200,यहां तक कि इसका color भी cool है।,1,['color'],['positive']
201,इसका blue screen मुझ पर दो बार crashed हो गया,0,[],[]
202,एक और two weeks later और यह मेरे possession में था।,0,[],[]
203,"सभी keys weird place में हैं और जिस way से इन्हे designed किया गया है, उस way से बहुत large है।",2,"['keys', 'designed']","['negative', 'negative']"
204,"मैंने last 8 years से हर Pro model वाला Apple laptop खरीदा है, यह BY FAR WORST है जो मेरे पास कभी था।",0,[],[]
205,हमने अपने home business के लिए several years पहले Dell XPS खरीदा था।,0,[],[]
206,"Mac Connection से कई products को years से purchase किया है, और यह transaction, अन्य सभी की तरह, हमने आराम से बिना किसी problem के की।",0,[],[]
207,मैं किसी को भी pcconnection express से buy करने को recommend करुंगा।,0,[],[]
208,"हाँ, Mac average laptop की तुलना में बहुत ज्यादे money का है, लेकिन style, speed और cool factor में कोई तुलना नहीं है।",2,"['style', 'speed']","['positive', 'positive']"
209,उसने मुझे यह PC लगभग 3 years पहले दिया था और इस point पर अभी भी यहाँ बैठकर मैं इसका use कर रहा हूं।,0,[],[]
210,I'm pleased.,0,[],[]
211,Keyboard feels good और मैं उस पर बस ठीक से type करता हूं।,1,['Keyboard'],['positive']
212,"एक healthy pessimism के साथ, मैं machine को home ले आया और flaw find करने का try किया।",0,[],[]
213,चमकदार है यह best में से  Best Laptop है!,0,[],[]
214,मैंने सोचा कि white Mac computers बहुत जल्दी dirty दिखते हैं और जहाँ आप mousepad का use करते हैं और जहाँ आप type करते समय अपने hands place करते हैं।,1,['mousepad'],['neutral']
215,"और कुछ months तक इसका use करने के बाद mention नहीं करना चाहिए या ऐसा ही कुछ, battery धीरे-धीरे कम और कम charge करेगी जब तक कि आप उसे बिना चीजों के खत्म हुए 5 minutes से अधिक समय तक unplugged नहीं कर सकते।",1,['battery'],['negative']
216,"अपना money waste मत करो, इसे save करो और एक mac buy करो ।",0,[],[]
217,Money और time ठीक से spent करना चाहिए!,0,[],[]
218,धीरे-धीरे freezing screen एक ऐसी screen में evolved हुई जो weird shapes में freez हो गई।,0,[],[]
219,"BEST BUY - 5 STARS + + + (sales, service, old men के लिए respect जो तकनीक से परिचित नहीं हैं) DELL COMPUTERS - 3 stars DELL SUPPORT - एक couple का मुझपे एहसान है।",3,"['sales', 'service', 'DELL SUPPORT']","['positive', 'positive', 'positive']"
220,Money में अच्छा laptop है।,0,[],[]
221,कुलमिलाकर मुझे laptop पसंद है।,0,[],[]
222,मैं अब अपने work PC और laptop के साथ travel करता हूं।,0,[],[]
223,मैं हालांकि pleased हूं कि यह अभी भी वहां hang कर रहा है।,0,[],[]
224,मेरे husband और मेरे दोनो के पास Toshiba का यह model है।,0,[],[]
225,"उनके desktop से कोई complaint नहीं है, और शायद इसलिए कि यह सिर्फ आपके desktop पर बैठता है, और आप इसे आसपास carry नहीं कर सकते हैं, जो hard drive, या motherboard को jar कर सकता है।",2,"['hard drive', 'motherboard']","['neutral', 'neutral']"
226,"हां, वे ज्यादा cost लेते हैं, लेकिन speed, construction quality और longevity में make up करते हैं।",4,"['speed', 'construction quality', 'longevity', 'cost']","['positive', 'positive', 'positive', 'conflict']"
227,"चूंकि मैं 100 wpm से अधिक keyboard चलाता हूं, मैं एक ऐसी unit की तलाश में हूं जिसमें एक comfortable keyboard हो ( keys sticking या lagging, strange configuration of ""extra key"" आदि न हो)।",3,"['keyboard', 'keys', 'configuration of ""extra key""']","['positive', 'positive', 'positive']"
228,मैंने touch pad try भी किया और store में अन्य netbooks से इसको compare किया।,1,['touch pad'],['neutral']
