sentence,aspect_terms,at_polarity
"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",['Microsoft office for the mac'],['negative']
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,['syncing'],['positive']
I shopped around before buying.,[],[]
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","['30"" HD Monitor', 'screen']","['positive', 'neutral']"
Would do business again.,[],[]
The machine is slow to boot up and occasionally crashes completely.,['boot up'],['negative']
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",['service'],['negative']
I have had the luxury (sarcasm) of owning 2 of these laptops.,[],[]
What a waste.,[],[]
It was a total Dhell experience that I will never repeat.,[],[]
There are a few flaws as well that I noticed.,[],[]
Completely worth every single penny dime and nickel.,[],[]
I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.,[],[]
"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",['battery'],['conflict']
In the past four years I've had it I have never once gotten a virus.,[],[]
I love the operating system and the preloaded software.,"['operating system', 'preloaded software']","['positive', 'positive']"
"They were great in handling this problem, and I'm looking forward in purchasing additonal products from them in the future.",[],[]
I've tried going back to XL but there still problems.,[],[]
The best thing about this laptop is the price along with some of the newer features.,"['price', 'features']","['positive', 'positive']"
"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",['clock in BIOS setup'],['negative']
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,['WARRANTY SERVICE'],['negative']
But it may be potentially hundreds or thousands in the near future.,[],[]
Has met or exceeded my needs for a compact travel device.,[],[]
but now i have realized its a problem with this brand.,['brand'],['negative']
It cannot save the correct date and time I set.,[],[]
I sent it back to Toshiba twice they covered it under the  warranty.,['warranty'],['positive']
And this isn't just my one experine.,[],[]
They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,[],[]
I was looking for a mac which is portable and has all the features that I was looking for.,['features'],['positive']
I would highly recommend this one to my friends,[],[]
"I honestly love my mac, thats why I am a self proclaimed mac addict.",[],[]
And these are some reasons you should get a macbook pro.,[],[]
Also kinda loud when the fan was running.,['fan'],['negative']
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").","['Customer Service number', 'warranty', 'talking to a technician']","['neutral', 'negative', 'negative']"
I purchased this laptop while on a business trip to keep up with my email.,[],[]
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,"['hard disc', 'windows', 'drivers']","['negative', 'negative', 'neutral']"
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,"['Drivers', 'BIOS update', 'system']","['positive', 'negative', 'negative']"
-they lost my laptop for a month,[],[]
Spent 2 hours on phone with HP Technical Support.,['HP Technical Support'],['neutral']
"This is my second laptop,and it is head and shoulders above my first.",[],[]
at first!,[],[]
"Speaking of the browser, it too has problems.",['browser'],['negative']
I think just going from PC to Mac has gotten me totally spoiled and I can't imagine ever going back.,[],[]
The keyboard is too slick.,['keyboard'],['negative']
Nightly my computer defrags itself and runs a virus scan.,['virus scan'],['neutral']
"It's like 9 punds, but if you can look past it, it's GREAT!",['9 punds'],['negative']
It's just as fast with one program open as it is with sixteen open.,['program'],['neutral']
"Still under warrenty so called Toshiba, no help at all.",['warrenty'],['negative']
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,['Toshiba Warranty'],['negative']
I LOVE IT!,[],[]
Amazing Quality!,['Quality'],['positive']
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,"['webcam', 'value']","['neutral', 'positive']"
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).","['internet', 'managing personal files']","['neutral', 'neutral']"
"A month or so ago, the freaking motherboard just died.",['motherboard'],['negative']
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",['system'],['negative']
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,"['charger', 'hardware']","['negative', 'negative']"
I took it back to Best Buy where they were so helpful and immediately gave me a new one.,[],[]
"If you had PC for four years I can almost gaurentee that something would of gone wrong by now, maybe even forcing you to replace your entire computer.",[],[]
"*2 weeks after giving the computer for repair*-Called headquarters, they report that they have not looked at it yet but it is ""on the top of the stack"".",[],[]
This machine delivers.,[],[]
Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.,[],[]
I complain again...,[],[]
This laptop is insane!!!,[],[]
"If a website ever freezes (which is rare), its really easy to force quit.",['force quit'],['positive']
It does run a little warm but that is a negligible concern.,[],[]
It rarely works and when it does it's incredibly slow.,['works'],['negative']
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,"['Windows 7', 'VMWare program']","['positive', 'neutral']"
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!","['operating system', 'runs', 'navigate', 'find files']","['positive', 'positive', 'positive', 'positive']"
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,['warrenty'],['negative']
I always swore by PCs and would never consider a MAC.,[],[]
"what an elegant, wonderful machine.",[],[]
This is now my 3rd MacBook Pro and I really honestly love it!,[],[]
for 2 months.,[],[]
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",['extended warranty'],['neutral']
Do you ever think HP would do that? NEVER!,[],[]
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,"['memory', 'speed', 'performace']","['neutral', 'positive', 'positive']"
It's not like I have used for half a year and then complained about it.,[],[]
Still trying to learn how to use it.,[],[]
"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",['opening my Documents folder'],['negative']
I bought the netbook because it was smaller and lighter for me to carry around.,[],[]
The Genius at the Apple store advised me that there was nothing about my use of the computer that caused this failure.,[],[]
We'll save our money to replace it with a Mac again!,[],[]
Thank you for your great product!,[],[]
"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen...",[],[]
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,['operating systems'],['negative']
"Sorry Toshiba, but 1st impressions do count for something.",[],[]
"Then, within 5 months, the charger crapped out on me.",['charger'],['negative']
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,['speed'],['positive']
Overall this laptop is great.,[],[]
I love the glass touchpad.,['glass touchpad'],['positive']
I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,"['hard drive', 'mother board']","['negative', 'negative']"
I am using the external speaker- sound is good.,"['external speaker', 'sound']","['positive', 'positive']"
The Apple MC371LL/A 2.4Ghz 15.4-inch MacBook Pro Notebook is a horrible waste of money.,[],[]
"Ok, this is probably the best laptop series ever devised by Apple.",[],[]
"As of a couple weeks ago the middle portion of the laptop from top to bottom,,,about 4 inches across is hardly visible.",[],[]
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",['battery life'],['negative']
"Then HP sends it back to me with the hardware screwed up, not able to connect.",['hardware'],['negative']
I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.,[],[]
"Oh yeah, don't forget the expensive shipping to and from HP.",['shipping'],['negative']
I would recommend anyone to buy from pcconnection express.,[],[]
Good luck.,[],[]
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.","['Mac software', 'Microsoft software', 'use']","['positive', 'negative', 'positive']"
"My favorite by far, although the most expensive, was my Sony.",[],[]
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.","['delete  key', 'editing']","['negative', 'negative']"
Also I typed faster then then letters would show and it got to be realy annoying.,[],[]
As an owner of a Toshiba Satalite laptop computer things you should know before you buy.,[],[]
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,"['use', 'service', 'phone assistance', 'genius bar']","['positive', 'positive', 'positive', 'positive']"
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","['battery life', 'battery life', 'gaming', 'movie playing', 'web browsing', 'word editing']","['positive', 'positive', 'neutral', 'neutral', 'neutral', 'neutral']"
"I shipped out on Saturday, July 17.",[],[]
I bought it for really cheap also and it's AMAZING.,[],[]
"Acer has set me up with FREE recovery discs, when they are available since I asked.",['recovery discs'],['positive']
"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","['Office Max\'s ""Max Assurance""']",['neutral']
If you find yourself in the market for a new laptop (and have the money) don't exclude looking at the MBPs.,[],[]
I eventually did the migration from my iMac backup disc which uses USB.,"['iMac backup disc', 'USB']","['neutral', 'neutral']"
Those things are very important - vital even!,[],[]
"-They say it will take ""up to two weeks"".",[],[]
I didn't like one thing about it.,[],[]
"The battery life seems to be very good, and have had no issues with it.",['battery life'],['positive']
Enabling the battery timer is useless.,['battery timer'],['negative']
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,"['Temperatures', 'Core Processing Unit temperatures']","['neutral', 'neutral']"
"Yeah, to you.",[],[]
I got a mac as my HS graduation gift.,[],[]
I have now had it for 1.5 months and love it.,[],[]
It turned out it's not really a problem to have a Mac.,[],[]
Page just disapeared after you got yahoo or downloaded something.,[],[]
Images can be multi-selected and viewed swiftly or in slideshow mode.,[],[]
Going to bring it to service today.,['service'],['neutral']
"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",['virus protection for Mac'],['positive']
"But we had paid for bluetooth, and there was none.",['bluetooth'],['negative']
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.","['LG notebook service center', 'hinge']","['neutral', 'negative']"
"My daughter uses it for games, email, facebook, pictures and music.",['games'],['neutral']
Laptop is to be used like a Netbook.,[],[]
"It is always reliable, never bugged and responds well.",['responds'],['positive']
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,"['motherboard', 'motherboard']","['negative', 'neutral']"
"Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient.",[],[]
"It was slow, locked up, and also had hardware replaced after only 2 months!",['hardware'],['negative']
they had to replace the motherboard in April,['motherboard'],['negative']
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",['use'],['positive']
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.","['representive at Microsoft', 'system', 'XP']","['negative', 'negative', 'positive']"
There is a little indent to help open it - but good luck with that.,[],[]
I love WIndows 7 which is a vast improvment over Vista.,"['WIndows 7', 'Vista']","['positive', 'negative']"
"Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.",[],[]
It Was a great deal after all.,[],[]
This mac is great!,[],[]
"Keyboard is great, very quiet for all the typing that I do.",['Keyboard'],['positive']
I grew up in a design family so it only made sense.,[],[]
Gave phonenumber.,[],[]
It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow.,[],[]
Oh my goodness-I am not a happy camper.,[],[]
Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,"[""Dell's customer disservice""]",['negative']
I'd recommend this laptop to anyone!,[],[]
"Yet, HP won't do anything about the problem.",[],[]
i'm returning mine,[],[]
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.","['cooling system', 'use']","['negative', 'neutral']"
"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",['quad core I7'],['positive']
It's a bummer and one out of five is being kind.,[],[]
"This is what they told me: It heats up, and that is the reason we no longer call them laptops, and simply categorize them as portables.",[],[]
"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",['sales associate'],['positive']
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;","['system', 'Windows applications']","['positive', 'neutral']"
You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,['virus program'],['negative']
This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,[],[]
One of them seems to have worked.,[],[]
Which I still use and have hooked up to my TV.,[],[]
The problem I had with this unit was unresolvable.,[],[]
It weighed like seven pounds or something like that.,"['weighed', 'seven pounds']","['neutral', 'neutral']"
"2 months later, the battery went.",['battery'],['negative']
You may need to special order a bag.,['bag'],['neutral']
It's color is even cool.,['color'],['positive']
and it has blue screen crashed on me twice.,[],[]
Another two weeks later and it was back in my possession.,[],[]
keys are all in weird places and is way too large for the way it is designed.,"['keys', 'designed']","['negative', 'negative']"
"I've owned every ""Pro"" model Apple laptop for the last 8 years, this is BY FAR the WORST one I've ever had.",[],[]
We purchase the Dell XPS several years ago for my home business.,[],[]
"Have purchased many products over the years from MacConnection and this transaction, like all the others, we smoothly with no problems.",[],[]
I would recommend anyone to buy from pcconnection express.,[],[]
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.","['style', 'speed']","['positive', 'positive']"
He gave me this PC about 3 years ago and up to this point im still sitting here using it.,[],[]
I'm pleased.,[],[]
The keyboard feels good and I type just fine on it.,['keyboard'],['positive']
"With a healthy pessimism, I took the machine home and tried to find a flaw.",[],[]
Shiny  This Laptop is the Best of the best!,[],[]
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,['mousepad'],['neutral']
"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",['battery'],['negative']
"Don't waste their money, save it and but a mac.",[],[]
Money and time well spent!,[],[]
Gradually the freezing screen evolved into a screen that froze in weird shapes.,[],[]
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple","['sales', 'service', 'DELL SUPPORT']","['positive', 'positive', 'positive']"
Good laptop for the money.,[],[]
I like the laptop overall.,[],[]
I now travel with this laptop and my work PC.,[],[]
I am however pleased that it is still hanging in there.,[],[]
Both my husband and I have this model Toshiba.,[],[]
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.","['hard drive', 'motherboard']","['neutral', 'neutral']"
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.","['speed', 'construction quality', 'longevity', 'cost']","['positive', 'positive', 'positive', 'conflict']"
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","['keyboard', 'keys', 'configuration of ""extra key""']","['positive', 'positive', 'positive']"
) I also tried the touch pad and compared it to other netbooks in the store.,['touch pad'],['neutral']
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.","['use', 'security', 'pricetag']","['positive', 'positive', 'conflict']"
"It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.","['use', 'work']","['negative', 'negative']"
lots of preloaded software.,['preloaded software'],['positive']
"Sony, Acer, Dell, Packard Bell and Toshiba.",[],[]
"and then, a guy came out to serve me instead.",[],[]
Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,[],[]
Have returned that laptop unused.,[],[]
Will probably never buy a HP again.,[],[]
I got tired of buying laptops and having them stop working after a year.,[],[]
I should have been more observant.,[],[]
"I wish it had a webcam though, then it would be perfect!",['webcam'],['negative']
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,"['vga port', 'screen']","['positive', 'neutral']"
Another thing I might add is the battery life is excellent.,['battery life'],['positive']
"One drawback, I wish the keys were backlit.",['keys'],['negative']
"When the buyer returned it Wal Mart just boxed it, taped it shut  resold it as new.",[],[]
What a great little laptop.,[],[]
"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",['software'],['positive']
I wish the volume could be louder and the mouse didnt break after only a month.,"['volume', 'mouse']","['negative', 'negative']"
"I play a lot of casual games online, and the touchpad is very responsive.",['touchpad'],['positive']
"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",['boots up'],['positive']
It caught a virus that completely wiped out my hard drive in a matter of hours.,['hard drive'],['negative']
WOULD PAY MORE FOR IT IF I HAD TOO!,[],[]
Couldn't keep a page up you were working on!,[],[]
"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",['look and feel standpoint'],['positive']
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,"['safari', 'safari', 'Mozzilla firfox']","['negative', 'negative', 'positive']"
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.","['Bluetooth', 'fingerprint reader driver', 'software']","['negative', 'negative', 'negative']"
"Great battery, speed, display.","['battery', 'speed', 'display']","['positive', 'positive', 'positive']"
I would not recommend this product to anyone.,[],[]
I like to use it at the race track to handiecap the horse races.,[],[]
I was given a Mac as a birthday present and couldn't be happier with it 3 years later.,[],[]
"The delivery was fast, and I would not hesitate to purchase this laptop again.",['delivery'],['positive']
I've been impressed with the battery life and the performance for such a small amount of memory.,"['battery life', 'performance', 'memory']","['positive', 'positive', 'negative']"
do a quick search on the internet see if im the only one.,[],[]
I'm extremely happy with my purchase as I now have the portable power I have been looking for.,[],[]
"It's applications are terrific, including the replacements for Microsoft office.","['applications', 'Microsoft office']","['positive', 'positive']"
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.","['Resolution', 'appearance', 'cooling system', 'graphics card']","['negative', 'negative', 'negative', 'negative']"
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.","['built-in webcam', 'built-in mic', 'cam', 'mic']","['negative', 'negative', 'negative', 'negative']"
Is this partially due to the fact that it is running Windows Vista?,['Windows Vista'],['neutral']
"You might think, I am new in this game, but I am a gadget lover, and have had more than 2 dozens laptops in the past 15 years, and none gets this hot, that fast.",[],[]
I was informed that I need to call some 0900 number first.,[],[]
I really wanted a Mac over a pc because I used a Mac in high school.,[],[]
"1) Payed $2200 for a ""premium"" laptop",[],[]
I BOUGHT THEM FOR MY COLLEGE AGE GRANDCHILDREN AND THESE MACS ARE TOTALLY RELIABLE AND SUPPORT THEIR CLASS WORK 100% OF THE TIME.,[],[]
The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,"['board', 'connector', 'power supply', 'warrenty', 'power supply']","['negative', 'negative', 'negative', 'negative', 'negative']"
Do not purchase this laptop.,[],[]
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!","['ethernet', 'works']","['positive', 'positive']"
Mostly I love the drag and drop feature.,['drag and drop feature'],['positive']
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",['webcam'],['negative']
"She brought out 2 other identical netbooks and still insist that ""It is like that one"".",[],[]
"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",['sales tax'],['positive']
Very fast and efficient!,[],[]
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.","['software packages', 'iWork', 'GarageBand', 'iMovie']","['positive', 'positive', 'positive', 'positive']"
Being virus-resistant is a huge plus.,[],[]
The screen is very large and crystal clear with amazing colors and resolution.,"['screen', 'colors', 'resolution']","['positive', 'positive', 'positive']"
"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",['monitor'],['negative']
"In my house, HP is a nasty word.",[],[]
"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",['iTunes'],['positive']
"By the way teachers, they offer a discount which helps!",[],[]
now he mows yards so he can earn the money for the wireless internet.,[],[]
I still see the benefits of a PC when I do not know how to do something on my mac.,[],[]
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.","['Size', 'external monitor']","['negative', 'neutral']"
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,"['base installation', 'software']","['negative', 'negative']"
It is held in place magnetically.,[],[]
Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,['manuf'],['negative']
"It has no camera but, I can always buy and install one easy.",['camera'],['conflict']
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",['display'],['positive']
We were PC users.,[],[]
The AMD Turin processor seems to always perform so much better than Intel.,"['AMD Turin processor', 'Intel']","['positive', 'negative']"
After that the said it was under warranty.,['warranty'],['neutral']
The start menu is not the easiest thing to navigate due to the stacking.,"['start menu', 'navigate']","['negative', 'negative']"
Only thing I would want to add to this is an internal bluray read/write drive.,['bluray read/write drive'],['negative']
"This computer was awful, I would never recomend it to another person.",[],[]
The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,['service tech'],['negative']
"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.",['tech store'],['negative']
"I loved it then, but unfortunately it was before the days of wireless internet.",[],[]
Really like the textured surface which shows no fingerprints.,['surface'],['positive']
"I WILL NEVER AGAIN buy another Acer, not will I buy Gateway, or eMachine as they are all from the same company.",[],[]
The screen is bright and the keyboard is nice;,"['screen', 'keyboard']","['positive', 'positive']"
"I look forward to years of use, it has held up well over the years and it fits my needs very well.",[],[]
Im very happy with this computer!,[],[]
But the machine is awesome and iLife is great and I love Snow Leopard X.,"['iLife', 'Snow Leopard X']","['positive', 'positive']"
"High price tag, however.",['price tag'],['negative']
"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",['Mac OS'],['positive']
"My kids have to take their PCs in once a year to have them ""de-bugged"".",[],[]
"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.",['sound output quality'],['negative']
It was a laugh  too!,[],[]
"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",[],[]
I bought my macbook a few months ago and it has been my baby ever since.,[],[]
That is how it is able to function better than any other PC.,[],[]
I custom ordered the machine from HP and could NOT understand the techie due to his accent.,['techie'],['negative']
It is easy to use and lightweight.,['use'],['positive']
I went to Toshiba online help and found some suggestions to fix it.,['Toshiba online help'],['positive']
It is a bit heavy.,[],[]
after trying to get some help he disconnected on me.,[],[]
They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,['service life'],['positive']
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,"['ports', 'processor']","['neutral', 'neutral']"
This laptop is a great price and has a sleek look.,"['price', 'look']","['positive', 'positive']"
I especially like the keyboard which has chiclet type keys.,"['keyboard', 'keys']","['positive', 'positive']"
Small screen somewhat limiting but great for travel.,['screen'],['conflict']
One of the primary reasons why I purchased an IPad was to store photographs so that I could show to my customers.,[],[]
Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,['quality'],['negative']
"For the not so good, I got the stock screen - which is VERY glossy.",['stock screen'],['negative']
The gray color was a good choice.,['gray color'],['positive']
This was the second computer and brand bought that day.,[],[]
Buy this.,[],[]
VERY disappointing:,[],[]
"I love this product because it is Toshiba and its 15.6"".",[],[]
I would like to have volume buttons rather than the adjustment that is on the front.,['volume buttons'],['negative']
This is my first computer purchase,[],[]
People know what they are talking about and they have pride in the product that they are selling.,[],[]
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,"['processor', 'computing']","['negative', 'negative']"
Would HIGHLY recommend this netbook though.,[],[]
"I have had several machines over the years, both for personal and business use.",[],[]
I bought a protector for my key pad and it works great :),"['protector', 'key pad']","['neutral', 'positive']"
The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,['magnetic plug-in power charging power cord'],['positive']
Well i got this computer from Best Buy and I have had nothing but problems I bought the computer with a virus.....,[],[]
It seems they could have updated XP and done without creating Vista.,"['XP', 'Vista']","['positive', 'negative']"
"It is easy to use, fast and has great graphics for the money.","['graphics', 'use']","['positive', 'positive']"
I decided I wanted a laptop so I went into the BBY store.,[],[]
I like how the Mac OS is so simple and easy to use.,"['Mac OS', 'use']","['positive', 'positive']"
"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",['support'],['positive']
"In the three years I've had my MacBook Pro, I have never had a virus on my computer, and I do a lot of work on the internet.",[],[]
"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.",['Geek Squad'],['positive']
I have had laptops in the past and I thought why not give these small netbooks a try.,[],[]
It can't get any better.,[],[]
"All the problems I have had with PC's are solved with a Mac: the issue of overheating-my Dell was always overheating and not working properly or simply shutting off, and the issue of viruses and contaminants-my HP completely quit working within2 years of purchasing it, with no inexpensive way of fixing it.",[],[]
only good thing is the graphics quality.,['graphics quality'],['positive']
